Version,File,Width,Height,Compression,Transparency,Colorspace,Bytes
Detailed,ThinTree02Bark_N.dds,1024,1024,None,Blend,srgba,4194432
Original,ThinTree02Bark_N.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,ThinTree02Bark.dds,1024,1024,None,Blend,srgba,4194432
Original,ThinTree02Bark.dds,1024,1024,DXT1,Blend,srgba,699168

Detailed,SpriteGrassYellow.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteGrassYellow.dds,1024,1024,DXT3,Blend,srgba,1398224

Detailed,GenericRockTexture_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,GenericRockTexture_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,SpriteGrasscolourmap.dds,1024,1024,None,Blend,srgba,4194432
Original,SpriteGrasscolourmap.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Foliage_Hand-Plant_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Foliage_Hand-Plant_DIF_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Foliage_Hand-Plant_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,VegAtlas01.dds,4096,1024,None,Blend,srgba,16777344
Compressed,VegAtlas01.dds,2048,512,DXT5,Blend,srgba,1398288
Original,VegAtlas01.dds,4096,1024,DXT5,Blend,srgba,5592592

Detailed,Tree_Spikey_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Tree_Spikey_DIF_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Tree_Spikey_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,SPRITEGroundPlantFluffyGrass01_safe.dds,1024,1024,None,Blend,srgba,4194432
Original,SPRITEGroundPlantFluffyGrass01_safe.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Trees&VegAtlas01_N.dds,4096,4096,None,Blend,srgba,67108992
Compressed,Trees&VegAtlas01_N.dds,2048,2048,DXT5,Blend,srgba,5592560
Original,Trees&VegAtlas01_N.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,skeleton.dds,1024,1024,None,Blend,srgba,4194432
Original,skeleton.dds,1024,1024,DXT1,Undefined,srgb,699176

Detailed,stem01.dds,512,512,None,Blend,srgba,1048704
Original,stem01.dds,512,512,DXT1,Undefined,srgb,174888

Detailed,grasscolormap.dds,256,256,None,Blend,srgba,262272
Original,grasscolormap.dds,256,256,DXT3,Blend,srgba,87536

Detailed,Trees&VegAtlas02_N.dds,4096,4096,None,Blend,srgba,67108992
Compressed,Trees&VegAtlas02_N.dds,2048,2048,DXT5,Blend,srgba,5592560
Original,Trees&VegAtlas02_N.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,TreesAtlas01_adjusted-orange.dds,2048,2048,None,Blend,srgba,16777344
Compressed,TreesAtlas01_adjusted-orange.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,TreesAtlas01_adjusted-orange.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,SPRITEGroundPlantTwiggyGrass01_safe.dds,1024,1024,None,Blend,srgba,4194432
Original,SPRITEGroundPlantTwiggyGrass01_safe.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Foliage_CoralGrass01_REDDER_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Foliage_CoralGrass01_REDDER_DIF_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Foliage_CoralGrass01_REDDER_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,SPRITEGroundPlantTwiggyGrass-Orange.dds,1024,1024,None,Blend,srgba,4194432
Original,SPRITEGroundPlantTwiggyGrass-Orange.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Grass_Sand_Green_Lines01.dds,1024,1024,None,Blend,srgba,4194432
Original,Grass_Sand_Green_Lines01.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,grass_green-01_colormap.dds,1024,1024,None,Blend,srgba,4194432

Detailed,grass_brown-01_n.dds,1024,1024,None,Blend,srgba,4194432

Detailed,Grass-Lowtype_DIF.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Grass-Lowtype_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Grass-Lowtype_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,grass_gray-01_colormap_small.dds,512,512,None,Blend,srgba,1048704
Original,grass_gray-01_colormap_small.dds,512,512,DXT1,Undefined,srgb,174904

Detailed,BulbGrass01_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,BulbGrass01_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Grass_Sand_supergrey.dds,1024,1024,None,Blend,srgba,4194432
Original,Grass_Sand_supergrey.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,grass_BLUE-01_colormap_small.dds,512,512,None,Blend,srgba,1048704
Original,grass_BLUE-01_colormap_small.dds,512,512,DXT1,Undefined,srgb,174904

Detailed,grass_green-01_colormap_small.dds,512,512,None,Blend,srgba,1048704

Detailed,grass_green-01_diffusespecular.dds,1024,1024,None,Blend,srgba,4194432

Detailed,Sprite_Basic_NEW_Grass.dds,512,512,None,Blend,srgba,1048704
Original,Sprite_Basic_NEW_Grass.dds,512,512,DXT5,Blend,srgba,349680

Detailed,grass_green-01_colormapGREEN_small.dds,512,512,None,Blend,srgba,1048704
Original,grass_green-01_colormapGREEN_small.dds,512,512,DXT1,Undefined,srgb,174904

Detailed,Grass_Sand_DarkGreen_Lines01.dds,1024,1024,None,Blend,srgba,4194432
Original,Grass_Sand_DarkGreen_Lines01.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,Grass-NewBlue_DIF.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Grass-NewBlue_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Grass-NewBlue_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,grass_brown-01_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Compressed,grass_brown-01_diffuse.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Sprite_Basic_NEW_Grass_REDDER.dds,512,512,None,Blend,srgba,1048704
Original,Sprite_Basic_NEW_Grass_REDDER.dds,512,512,DXT5,Blend,srgba,349680

Detailed,WiryThorns01-WHITEblue_DIF.dds,2048,2048,None,Blend,srgba,16777344
Compressed,WiryThorns01-WHITEblue_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,WiryThorns01-WHITEblue_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,WiryThorns01_DIF.dds,2048,2048,None,Blend,srgba,16777344
Compressed,WiryThorns01_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,WiryThorns01_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,bed_tex.dds,512,512,None,Blend,srgba,1048704
Original,bed_tex.dds,512,512,DXT5,Blend,srgba,349680

Detailed,scicrate05_d.dds,512,512,None,Blend,srgba,1048704
Original,scicrate05_d.dds,512,512,DXT5,Blend,srgba,349680

Detailed,engcrate08_d_HI.dds,2048,2048,None,Blend,srgba,16777344
Compressed,engcrate08_d_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,engcrate08_d_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Peeler_DIF_HI.dds,4096,4096,None,Blend,srgba,67108992
Compressed,Peeler_DIF_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Peeler_DIF_HI.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,chest1.dds,512,512,None,Blend,srgba,1048704
Original,chest1.dds,512,512,DXT5,Blend,srgba,349680

Detailed,scicrate05_m.dds,256,256,None,Blend,srgba,262272
Original,scicrate05_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,chest2.dds,512,512,None,Blend,srgba,1048704
Original,chest2.dds,512,512,DXT5,Blend,srgba,349680

Detailed,medicrate_d.dds,1024,1024,None,Blend,srgba,4194432
Original,medicrate_d.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Peeler_Metal_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,Peeler_Metal_HI.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,chest.dds,512,512,None,Blend,srgba,1048704
Original,chest.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Bin-of-ScreamerHeadsDIF_HI.dds,2048,1024,None,Blend,srgba,8388736
Compressed,Bin-of-ScreamerHeadsDIF_HI.dds,1024,512,DXT5,Blend,srgba,699216
Original,Bin-of-ScreamerHeadsDIF_HI.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,scicrate01_m.dds,256,256,None,Blend,srgba,262272
Original,scicrate01_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,scicrate03_m.dds,256,256,None,Blend,srgba,262272
Original,scicrate03_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,scisafe_d.dds,512,512,None,Blend,srgba,1048704
Original,scisafe_d.dds,512,512,DXT5,Blend,srgba,349680

Detailed,engcrate01_d_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,engcrate01_d_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,scicrate03_d_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,scicrate03_d_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,scicrate01_d_HI.dds,2048,2048,None,Blend,srgba,16777344
Compressed,scicrate01_d_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,scicrate01_d_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,ConcreteBarrier_01_D.dds,1024,1024,None,Blend,srgba,4194432
Original,ConcreteBarrier_01_D.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,engcrate01_m.dds,256,256,None,Blend,srgba,262272
Original,engcrate01_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,market _d.dds,4096,2048,None,Blend,srgba,33554560
Compressed,market _d.dds,2048,1024,DXT5,Blend,srgba,2796368
Original,market _d.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,watertower.dds,1024,1024,None,Blend,srgba,4194432
Original,watertower.dds,1024,1024,DXT5,Blend,srgba,1398256

