Copy,DupTest,Mkdir,sFILE_NAME,sBASENAME_NO_EXT,sBASENAME,sEXT,sLOWERCASE_EXT,sTARGET_PATH,sEXISTING_FILE
True,True,True,/home/toazd/github/personal/scripts/bash/recursive-md5sum/.gitignore,,.gitignore,gitignore,gitignore,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_269956432
True,False,True,/home/toazd/github/personal/scripts/bash/recursive-md5sum/recursive-md5sum.sh,recursive-md5sum,recursive-md5sum.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_269956432
True,False,True,/home/toazd/github/personal/scripts/bash/recursive-md5sum/recursive-md5sum-split-output.sh,recursive-md5sum-split-output,recursive-md5sum-split-output.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_269956432
True,True,True,/home/toazd/github/personal/scripts/bash/blacklist-to-ip/.gitignore,,.gitignore,gitignore,gitignore,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_619524073
True,False,True,/home/toazd/github/personal/scripts/bash/blacklist-to-ip/blacklist.ipv6,blacklist,blacklist.ipv6,ipv6,ipv6,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_619524073
True,False,True,/home/toazd/github/personal/scripts/bash/blacklist-to-ip/blacklist.ipv4,blacklist,blacklist.ipv4,ipv4,ipv4,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_619524073
True,False,True,/home/toazd/github/personal/scripts/bash/blacklist-to-ip/blacklist-to-ip.sh,blacklist-to-ip,blacklist-to-ip.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_619524073
True,True,True,/home/toazd/github/personal/scripts/bash/blacklist-to-ip/README.md,README,README.md,md,md,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/scripts/bash/diversion-blockinglist-to-ip/smalltest.blockinglist,smalltest,smalltest.blockinglist,blockinglist,blockinglist,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,True,True,/home/toazd/github/personal/scripts/bash/diversion-blockinglist-to-ip/.gitignore,,.gitignore,gitignore,gitignore,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_619524073
True,False,True,/home/toazd/github/personal/scripts/bash/diversion-blockinglist-to-ip/smalltest.blockinglist.ipv4,smalltest.blockinglist,smalltest.blockinglist.ipv4,ipv4,ipv4,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_619524073
True,False,True,/home/toazd/github/personal/scripts/bash/diversion-blockinglist-to-ip/smalltest.blockinglist.ipv6,smalltest.blockinglist,smalltest.blockinglist.ipv6,ipv6,ipv6,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_619524073
True,False,True,/home/toazd/github/personal/scripts/bash/diversion-blockinglist-to-ip/diversion-blockinglist-to-ip.sh,diversion-blockinglist-to-ip,diversion-blockinglist-to-ip.sh,sh,sh,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_619524073
True,False,True,/home/toazd/github/personal/scripts/bash/diversion-blockinglist-to-ip/largeblockinglist.tmp,largeblockinglist,largeblockinglist.tmp,tmp,tmp,/tmp/copyfilestest,/tmp/copyfilestest/gitignore/.gitignore_619524073
True,True,True,/home/toazd/github/personal/scripts/bash/diversion-blockinglist-to-ip/README.md,README,README.md,md,md,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/scripts/Python/misc/ellipse-animation/ellipse_anim0.mp4,ellipse_anim0,ellipse_anim0.mp4,mp4,mp4,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/scripts/Python/misc/ellipse-animation/ellipse_anim1.mp4,ellipse_anim1,ellipse_anim1.mp4,mp4,mp4,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/scripts/Python/misc/ellipse-animation/ellipse.py,ellipse,ellipse.py,py,py,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/JavaVsC/Makefile.win,Makefile,Makefile.win,win,win,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/JavaVsC/Project1.dev,Project1,Project1.dev,dev,dev,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/JavaVsC/JavaVsC_Calculation.zip,JavaVsC_Calculation,JavaVsC_Calculation.zip,zip,zip,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/JavaVsC/JavaVsC_Calculation.o,JavaVsC_Calculation,JavaVsC_Calculation.o,o,o,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/JavaVsC/JavaVsC_Calculation.c,JavaVsC_Calculation,JavaVsC_Calculation.c,c,c,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/Euclidean_Algorithm_RC3/Euclidean_Algorithm.c,Euclidean_Algorithm,Euclidean_Algorithm.c,c,c,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/Euclidean_Algorithm_RC3/Euclidean_Algorithm.zip,Euclidean_Algorithm,Euclidean_Algorithm.zip,zip,zip,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/Euclidean_Algorithm_RC3/Euclidean_Algorithm.exe,Euclidean_Algorithm,Euclidean_Algorithm.exe,exe,exe,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/Factor.c,Factor,Factor.c,c,c,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/Raw Sockets/sockets.c,sockets,sockets.c,c,c,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
True,False,True,/home/toazd/github/personal/C/misc/Raw Sockets/winsock.c,winsock,winsock.c,c,c,/tmp/copyfilestest,/tmp/copyfilestest/md/README.md
